Gear_type,fuel_type,location,mileage,name,price,volume_of_fuel,year_of_manufacture
Manual,Petrol,Karachi,149000,"
SuzukiBaleno2004JXRforSale
",665000.0,1300,17
Automatic,Petrol,Karachi,685,"
NissanPatrol2020forSale
",0,5700,1
Manual,Petrol,Karachi,100000,"
ToyotaCorolla2007GLi1.3forSale
",1225000.0,1300,14
Automatic,Petrol,Karachi,17000,"
HondaCivic2019Oriel1.8i-VTECCVTforSale
",3785000.0,1800,2
Automatic,Diesel,Karachi,29000,"
ToyotaHilux2016RevoG2.8forSale
",0,2800,5
Automatic,Petrol,Karachi,41000,"
ToyotaVitz2018F1.0forSale
",2675000.0,1000,3
Automatic,Petrol,Karachi,57900,"
ToyotaVitz2018F1.0forSale
",2775000.0,1000,3
Automatic,Petrol,Karachi,45000,"
ToyotaCrown2014RoyalSaloonforSale
",0,2500,7
Automatic,Petrol,Karachi,26000,"
ToyotaLandCruiser2017AXforSale
",0,4600,4
Automatic,Petrol,Karachi,83000,"
ToyotaPrado2011TX2.7forSale
",0,2700,10
Automatic,Petrol,Karachi,34000,"
ToyotaVitz2018F1.0forSale
",0,1000,3
Automatic,Petrol,Karachi,12000,"
ToyotaPasso2018XforSale
",0,1000,3
Automatic,Petrol,Karachi,65000,"
ToyotaLandCruiser2013AXGSelectionforSale
",0,4600,8
Automatic,Petrol,Karachi,136000,"
ToyotaSurf2006SSR-G2.7forSale
",0,2700,15
Automatic,Petrol,Karachi,40000,"
ToyotaPrado2017TXLPackage2.7forSale
",0,2700,4
Automatic,Petrol,Karachi,28000,"
NissanDayzHighwayStar2018forSale
",2150000.0,660,3
Automatic,Petrol,Karachi,1,"
HyundaiElantra2021forSale
",4034000.0000000005,2000,0
Manual,Petrol,Karachi,81000,"
ToyotaCorolla2012GLi1.3VVTiforSale
",1760000.0000000002,1300,9
Automatic,Petrol,Karachi,129628,"
SubaruDiasWagon2011forSale
7.6/10
",1095000.0,660,10
Automatic,Petrol,Karachi,112000,"
ToyotaProbox2006forSale
",1750000.0,1500,15
Automatic,Petrol,Karachi,6000,"
ToyotaYaris2020ATIVXCVT1.5forSale
",3075000.0,1500,1
Automatic,Petrol,Karachi,2000,"
ToyotaPasso2020ModaGforSale
",2900000.0,1000,1
Manual,Petrol,Karachi,65000,"
SuzukiMehran2019VXREuroIIforSale
",900000.0,800,2
Automatic,Petrol,Karachi,80000,"
DaihatsuMove2015CustomRSforSale
",1650000.0,660,6
Automatic,Petrol,Karachi,105000,"
SuzukiWagonR2013StingrayJStyleforSale
",1350000.0,660,8
Automatic,Hybrid,Karachi,90000,"
ToyotaPrius2017SforSale
",0,1800,4
Automatic,Hybrid,Karachi,76861,"
ToyotaAqua2017GLEDSoftLeatherSelection...
",0,1500,4
Automatic,Petrol,Karachi,120000,"
ToyotaCorolla2011GLiAutomatic1.6VVTifo...
",1945000.0,1600,10
Manual,CNG,Karachi,68300,"
SuzukiAlto2006VXR(CNG)forSale
",575000.0,1000,15
Manual,Petrol,Karachi,100000,"
HyundaiOther1993forSale
",250000.0,1300,28
Automatic,Petrol,Karachi,19500,"
ToyotaPrado2018TXLimited2.7forSale
",0,2700,3
Manual,Petrol,Karachi,36000,"
SuzukiCultus2018VXLforSale
",1739999.9999999998,1000,3
Manual,Petrol,Karachi,40500,"
SuzukiCultus2015VXLiforSale
",1110000.0,1000,6
Automatic,Petrol,Karachi,34000,"
HondaCity20181.5i-VTECProsmatecforSale
",2675000.0,1500,3
Automatic,Petrol,Karachi,80000,"
AlfaRomeoOther2005forSale
",1230000.0,660,16
Automatic,Petrol,Karachi,100000,"
DaihatsuCuore2012CXAutomaticforSale
",1000000.0,800,9
Automatic,Petrol,Karachi,132000,"
NissanDayzHighwayStar2014forSale
",1350000.0,660,7
Manual,Petrol,Karachi,200000,"
SuzukiAlto2004VXRforSale
",425000.0,1000,17
